purchase_make,purchase_model,purchase_vehicle_year,purchase_price_LB,trade_in,vehicle_financing,customer_income,customer_gender,AgeBin,made_in,job_assign,Labels
FORD,C-MAX,2013,20001.0,1,1,100001 - 120000,M,Forties,UNITED STATES,Economists,3
TOYOTA,PRIUS,2010,15001.0,1,1,100001 - 120000,M,Thirties,JAPAN,Nurse Practitioners,3
NISSAN,CUBE,2009,10001.0,0,1,60001 - 80000,M,Fifties,JAPAN,Writers and Authors,3
VOLKSWAGEN,GOLF,2013,20001.0,0,1,80001 - 100000,F,Forties,GERMANY,Bioengineers and Biomedical Engineers,3
DODGE,CALIBER,2012,15001.0,1,1,60001 - 80000,F,Fifties,UNITED STATES,Insurance Underwriters,3
SUBARU,OUTBACK,2011,20001.0,0,1,60001 - 80000,M,Thirties,JAPAN,Anthropologists and Archeologists,3
JEEP,LIBERTY,2010,15001.0,1,1,100001 - 120000,M,Thirties,UNITED STATES,Public Relations and Fundraising Managers,3
MINI,COOPER,2009,15001.0,0,1,100001 - 120000,F,Forties,UNITED KINGDOM,"Lawyers, Judges, and Related Workers",3
MINI,COOPER,2012,20001.0,0,1,140001 - 160000,M,Forties,UNITED KINGDOM,"Dentists, General",3
JEEP,LIBERTY,2012,15001.0,1,1,200001+,M,Seventies,UNITED STATES,"Physicians, All Other; and Ophthalmologists, Except Pediatric",3
MINI,COOPER,2010,20001.0,1,1,100001 - 120000,M,Forties,UNITED KINGDOM,Nuclear Power Reactor Operators,3
MITSUBISHI,ECLIPSE,2012,15001.0,1,1,80001 - 100000,F,Forties,JAPAN,First-Line Supervisors of Law Enforcement Workers,3
MINI,COOPER,2009,15001.0,1,1,100001 - 120000,M,HundredPlus,UNITED KINGDOM,"Economics Teachers, Postsecondary",3
NISSAN,CUBE,2009,10001.0,0,1,100001 - 120000,F,Thirties,JAPAN,"Physical Scientists, All Other",3
CHEVROLET,CAPTIVA SPORT,2012,15001.0,0,1,60001 - 80000,F,Thirties,UNITED STATES,"Nursing Instructors and Teachers, Postsecondary",3
TOYOTA,PRIUS,2010,15001.0,0,1,100001 - 120000,M,Thirties,JAPAN,Nurse Midwives,3
JEEP,LIBERTY,2012,15001.0,1,1,140001 - 160000,M,Forties,UNITED STATES,Dentists,3
JEEP,LIBERTY,2012,15001.0,1,1,60001 - 80000,F,Forties,UNITED STATES,Human Resources Specialists,3
MITSUBISHI,ECLIPSE,2012,15001.0,0,1,140001 - 160000,F,Thirties,JAPAN,"Dentists, All Other Specialists",3
VOLKSWAGEN,GTI,2013,25001.0,0,1,80001 - 100000,M,Thirties,GERMANY,"Transportation, Storage, and Distribution Managers",3
CHEVROLET,CAPTIVA SPORT,2012,15001.0,1,1,80001 - 100000,M,Twenties,UNITED STATES,"Education Administrators, All Other",3
JEEP,LIBERTY,2012,15001.0,0,1,80001 - 100000,F,Twenties,UNITED STATES,Civil Engineers,3
CHEVROLET,VOLT,2011,25001.0,1,1,200001+,M,Forties,UNITED STATES,General Internal Medicine Physicians,3
CHEVROLET,CAPTIVA SPORT,2012,15001.0,0,1,100001 - 120000,U,Fifties,UNITED STATES,Industrial Production Managers,3
BMW,135,2010,25001.0,1,1,60001 - 80000,M,Twenties,GERMANY,Electrical and Electronic Engineering Technologists and Technicians,3
TOYOTA,PRIUS,2010,15001.0,0,1,60001 - 80000,F,Thirties,JAPAN,Fire Inspectors and Investigators,3
TOYOTA,PRIUS,2010,15001.0,1,1,80001 - 100000,M,Seventies,JAPAN,Environmental Engineers,3
LEXUS,CT 200H,2011,25001.0,0,1,60001 - 80000,F,Forties,JAPAN,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",3
TOYOTA,PRIUS,2011,20001.0,1,1,60001 - 80000,F,Thirties,JAPAN,Cost Estimators,3
JEEP,LIBERTY,2012,15001.0,0,1,60001 - 80000,M,Forties,UNITED STATES,Training and Development Specialists,3
INFINITI,FX35,2008,15001.0,1,1,60001 - 80000,F,Fifties,JAPAN,"Library Science Teachers, Postsecondary",3
BMW,128,2011,20001.0,0,0,100001 - 120000,F,Fifties,GERMANY,Actuaries,3
TOYOTA,PRIUS,2012,20001.0,0,1,80001 - 100000,F,Thirties,JAPAN,Geographers,3
CHEVROLET,CAPTIVA SPORT,2013,15001.0,1,1,60001 - 80000,F,Thirties,UNITED STATES,Web Developers and Digital Interface Designers,3
JEEP,LIBERTY,2012,15001.0,1,1,80001 - 100000,U,Thirties,UNITED STATES,"Life Sciences Teachers, Postsecondary",3
CHEVROLET,CAPTIVA SPORT,2012,20001.0,0,1,60001 - 80000,U,Forties,UNITED STATES,Aircraft Mechanics and Service Technicians,3
SCION,XB,2009,15001.0,1,1,100001 - 120000,M,Thirties,UNITED STATES,Computer Network Architects,3
BMW,128,2009,20001.0,0,1,80001 - 100000,M,Sixties,GERMANY,Computer Occupations,3
BMW,135,2012,35001.0,1,1,80001 - 100000,M,Twenties,GERMANY,Atmospheric and Space Scientists,3
INFINITI,FX35,2012,35001.0,1,1,100001 - 120000,F,Fifties,JAPAN,Economists,3
TOYOTA,PRIUS C,2013,20001.0,1,1,60001 - 80000,F,Fifties,JAPAN,First-Line Supervisors of Correctional Officers,3
HONDA,FIT,2011,15001.0,0,1,80001 - 100000,M,Thirties,JAPAN,Sociologists,3
INFINITI,FX35,2007,20001.0,1,1,60001 - 80000,M,Thirties,JAPAN,Gas Compressor and Gas Pumping Station Operators,3
JEEP,LIBERTY,2008,15001.0,1,1,60001 - 80000,M,Fifties,UNITED STATES,Magnetic Resonance Imaging Technologists,3
MINI,COOPER,2007,15001.0,1,1,100001 - 120000,M,Thirties,UNITED KINGDOM,Nurse Practitioners,3
TOYOTA,PRIUS,2010,15001.0,1,1,60001 - 80000,F,Forties,JAPAN,Occupational Health and Safety Specialists and Technicians,3
SUBARU,OUTBACK,2011,25001.0,1,1,100001 - 120000,M,Fifties,JAPAN,Industrial Production Managers,3
LEXUS,CT 200H,2012,25001.0,1,1,80001 - 100000,F,Fifties,JAPAN,"Computer Occupations, All Other",3
JEEP,LIBERTY,2007,15001.0,1,1,80001 - 100000,M,Sixties,UNITED STATES,Miscellaneous Social Scientists and Related Workers,3
TOYOTA,PRIUS,2010,20001.0,1,1,80001 - 100000,U,Thirties,JAPAN,Database and Network Administrators and Architects,3
TOYOTA,PRIUS,2009,15001.0,1,1,100001 - 120000,M,Fifties,JAPAN,Human Resources Managers,3
JEEP,LIBERTY,2010,15001.0,0,1,140001 - 160000,M,Fifties,UNITED STATES,"Airline Pilots, Copilots, and Flight Engineers",3
TOYOTA,PRIUS,2011,20001.0,0,1,120001 - 140000,M,Forties,JAPAN,Financial Managers,3
TOYOTA,PRIUS,2013,20001.0,1,1,60001 - 80000,M,Forties,JAPAN,Human Resources Workers,3
INFINITI,FX35,2012,30001.0,1,1,0 - 20000,U,Twenties,JAPAN,Animal Caretakers,3
VOLKSWAGEN,GTI,2012,20001.0,0,1,80001 - 100000,M,Forties,GERMANY,"Environmental Science Teachers, Postsecondary",3
BMW,135,2009,25001.0,1,1,100001 - 120000,U,Thirties,GERMANY,"Economics Teachers, Postsecondary",3
SUBARU,OUTBACK,2006,15001.0,1,1,100001 - 120000,F,Forties,JAPAN,Physician Assistants,3
INFINITI,FX35,2008,20001.0,1,1,200001+,F,Thirties,JAPAN,General Internal Medicine Physicians,3
TOYOTA,PRIUS,2010,15001.0,0,1,60001 - 80000,M,Twenties,JAPAN,Public Relations Specialists,3
TOYOTA,PRIUS V,2012,20001.0,1,1,80001 - 100000,F,Sixties,JAPAN,Mechanical Engineers,3
NISSAN,CUBE,2010,10001.0,1,1,60001 - 80000,F,Thirties,JAPAN,"History Teachers, Postsecondary",3
CHEVROLET,CAPTIVA SPORT,2013,15001.0,1,1,80001 - 100000,F,Fifties,UNITED STATES,"Geoscientists, Except Hydrologists and Geographers",3
TOYOTA,YARIS,2009,10001.0,1,1,60001 - 80000,F,Twenties,JAPAN,"Model Makers and Patternmakers, Wood",3
TOYOTA,PRIUS,2010,15001.0,0,1,140001 - 160000,F,Forties,JAPAN,"Dentists, All Other Specialists",3
JEEP,LIBERTY,2012,20001.0,1,1,80001 - 100000,M,Twenties,UNITED STATES,Sociologists,3
JEEP,LIBERTY,2011,15001.0,1,1,60001 - 80000,M,Forties,UNITED STATES,"Communications Teachers, Postsecondary",3
TOYOTA,PRIUS,2010,15001.0,1,1,80001 - 100000,F,Twenties,JAPAN,"Geoscientists, Except Hydrologists and Geographers",3
TOYOTA,PRIUS,2010,20001.0,1,1,60001 - 80000,F,Sixties,JAPAN,"Environmental Scientists and Specialists, Including Health",3
TOYOTA,PRIUS,2010,15001.0,1,1,80001 - 100000,F,Thirties,JAPAN,Bioengineers and Biomedical Engineers,3
CHEVROLET,CAPTIVA SPORT,2012,15001.0,1,1,60001 - 80000,F,Fifties,UNITED STATES,Public Relations Specialists,3
TOYOTA,MATRIX,2010,10001.0,1,1,140001 - 160000,M,Forties,JAPAN,Computer and Information Systems Managers,3
SCION,XD,2013,15001.0,1,1,60001 - 80000,F,Forties,UNITED STATES,"Architects, Surveyors, and Cartographers",3
TOYOTA,PRIUS,2008,15001.0,0,1,60001 - 80000,F,Fifties,JAPAN,Human Resources Specialists,3
VOLKSWAGEN,GOLF,2012,25001.0,1,0,100001 - 120000,M,Thirties,GERMANY,Nurse Midwives,3
MINI,COOPER,2009,20001.0,1,1,100001 - 120000,F,Fifties,UNITED KINGDOM,Medical and Health Services Managers,3
CHEVROLET,CAPTIVA SPORT,2012,15001.0,1,1,80001 - 100000,M,Thirties,UNITED STATES,Air Traffic Controllers and Airfield Operations Specialists,3
TOYOTA,PRIUS,2011,20001.0,0,1,80001 - 100000,F,Twenties,JAPAN,"Industrial Engineers, Including Health and Safety",3
VOLVO,C30,2009,15001.0,0,1,60001 - 80000,M,Thirties,SWEDEN,"Special Education Teachers, All Other",3
CHEVROLET,CAPTIVA SPORT,2012,20001.0,1,1,120001 - 140000,F,Fifties,UNITED STATES,Advertising and Promotions Managers,3
TOYOTA,PRIUS V,2013,25001.0,1,1,80001 - 100000,U,Thirties,JAPAN,Computer and Information Analysts,3
TOYOTA,PRIUS,2010,15001.0,1,1,140001 - 160000,F,Fifties,JAPAN,"Dentists, All Other Specialists",3
TOYOTA,PRIUS,2007,15001.0,0,1,100001 - 120000,F,Unknown,JAPAN,"Software and Web Developers, Programmers, and Testers",3
TOYOTA,PRIUS,2010,20001.0,1,1,60001 - 80000,M,Twenties,JAPAN,Plant and System Operators,3
JEEP,LIBERTY,2012,20001.0,0,1,200001+,M,Thirties,UNITED STATES,Family Medicine Physicians,3
LEXUS,CT 200H,2011,20001.0,1,1,100001 - 120000,U,Thirties,JAPAN,Economists,3
CHEVROLET,CAPTIVA SPORT,2013,15001.0,1,1,140001 - 160000,M,Fifties,UNITED STATES,Dentists,3
INFINITI,FX35,2009,30001.0,0,1,200001+,M,Thirties,JAPAN,Family Medicine Physicians,3
VOLKSWAGEN,GTI,2013,20001.0,0,1,100001 - 120000,M,Fifties,GERMANY,Economists,3
JEEP,LIBERTY,2012,15001.0,0,1,80001 - 100000,M,Fifties,UNITED STATES,Elevator and Escalator Installers and Repairers,3
MITSUBISHI,ECLIPSE,2012,15001.0,1,1,60001 - 80000,F,Thirties,JAPAN,Technical Writers,3
INFINITI,FX35,2008,20001.0,0,1,80001 - 100000,M,Forties,JAPAN,Administrative Services and Facilities Managers,3
CHEVROLET,VOLT,2013,30001.0,1,1,60001 - 80000,M,Twenties,UNITED STATES,"Sales Representatives, Wholesale and Manufacturing",3
CHEVROLET,CAPTIVA SPORT,2013,15001.0,0,1,60001 - 80000,F,Thirties,UNITED STATES,"Arbitrators, Mediators, and Conciliators",3
VOLKSWAGEN,GTI,2011,15001.0,1,1,60001 - 80000,M,Thirties,GERMANY,Railroad Conductors and Yardmasters,3
BMW,135,2011,30001.0,1,1,200001+,F,Twenties,GERMANY,General Internal Medicine Physicians,3
INFINITI,FX50,2009,25001.0,1,1,80001 - 100000,M,Thirties,JAPAN,Industrial-Organizational Psychologists,3
BMW,128,2011,20001.0,1,1,80001 - 100000,M,Forties,GERMANY,Statisticians,3
TOYOTA,PRIUS,2010,15001.0,0,1,80001 - 100000,M,Fifties,JAPAN,"Computer Science Teachers, Postsecondary",3
INFINITI,FX35,2011,35001.0,1,1,200001+,M,Sixties,JAPAN,Family Medicine Physicians,3
HONDA,FIT,2009,15001.0,1,1,60001 - 80000,M,Fifties,JAPAN,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",3
CHEVROLET,CAPTIVA SPORT,2012,20001.0,1,1,0 - 20000,F,Seventies,UNITED STATES,Recreation and Fitness Workers,3
TOYOTA,PRIUS,2010,20001.0,1,1,80001 - 100000,M,Forties,JAPAN,Nuclear Technicians,3
AUDI,A7,2012,55001.0,1,1,200001+,M,Forties,GERMANY,"Physicians, All Other; and Ophthalmologists, Except Pediatric",3
TOYOTA,PRIUS,2010,15001.0,0,1,200001+,F,Thirties,JAPAN,General Internal Medicine Physicians,3
VOLKSWAGEN,GTI,2011,20001.0,1,1,120001 - 140000,M,Twenties,GERMANY,Astronomers and Physicists,3
TOYOTA,YARIS,2012,10001.0,1,1,60001 - 80000,F,Forties,JAPAN,Credit Analysts,3
LEXUS,CT 200H,2012,25001.0,1,1,160001 - 180000,M,Forties,JAPAN,Nurse Anesthetists,3
TOYOTA,PRIUS,2010,20001.0,1,1,60001 - 80000,U,Thirties,JAPAN,Stationary Engineers and Boiler Operators,3
VOLKSWAGEN,GOLF,2012,20001.0,1,1,80001 - 100000,F,Twenties,GERMANY,Nuclear Technicians,3
MAZDA,MAZDA2,2011,10001.0,1,1,200001+,F,Sixties,JAPAN,Family Medicine Physicians,3
TOYOTA,YARIS,2010,10001.0,0,1,60001 - 80000,U,Fifties,JAPAN,Budget Analysts,3
MINI,COOPER,2007,15001.0,0,1,100001 - 120000,F,Forties,UNITED KINGDOM,Actuaries,3
HONDA,FIT,2011,15001.0,1,1,60001 - 80000,F,Forties,JAPAN,Aerospace Engineering and Operations Technologists and Technicians,3
TOYOTA,PRIUS,2010,20001.0,1,1,60001 - 80000,F,Forties,JAPAN,Dietitians and Nutritionists,3
CHEVROLET,CAPTIVA SPORT,2013,15001.0,0,1,60001 - 80000,F,Fifties,UNITED STATES,Plant and System Operators,3
MINI,COOPER,2012,20001.0,1,1,100001 - 120000,M,Forties,UNITED KINGDOM,Nurse Practitioners,3
MITSUBISHI,ECLIPSE,2011,10001.0,0,1,140001 - 160000,M,Forties,JAPAN,"Dentists, General",3
BMW,135,2009,20001.0,0,1,60001 - 80000,F,Forties,GERMANY,Technical Writers,3
MINI,COOPER,2010,15001.0,0,1,100001 - 120000,F,Fifties,UNITED KINGDOM,Aerospace Engineers,3
LEXUS,CT 200H,2013,30001.0,1,1,60001 - 80000,F,Twenties,JAPAN,Computer Network Support Specialists,3
HONDA,FIT,2010,15001.0,0,1,200001+,F,Forties,JAPAN,"Physicians, All Other; and Ophthalmologists, Except Pediatric",3
JEEP,LIBERTY,2006,10001.0,1,1,100001 - 120000,M,Forties,UNITED STATES,Sales Engineers,3
TOYOTA,PRIUS,2010,20001.0,0,1,60001 - 80000,M,Thirties,JAPAN,First-Line Supervisors of Construction Trades and Extraction Workers,3
INFINITI,FX35,2009,25001.0,0,1,60001 - 80000,U,Twenties,JAPAN,Occupational Health and Safety Specialists,3
TOYOTA,PRIUS,2010,20001.0,0,1,200001+,M,Fifties,JAPAN,Family Medicine Physicians,3
TOYOTA,PRIUS,2010,20001.0,0,1,140001 - 160000,M,Thirties,JAPAN,Computer and Information Systems Managers,3
INFINITI,FX35,2010,30001.0,1,1,80001 - 100000,M,Forties,JAPAN,First-Line Supervisors of Police and Detectives,3
TOYOTA,PRIUS,2014,25001.0,1,1,60001 - 80000,F,Fifties,JAPAN,Fire Inspectors and Investigators,3
MITSUBISHI,ECLIPSE,2012,15001.0,0,1,60001 - 80000,F,Forties,JAPAN,"Career/Technical Education Teachers, Middle School",3
VOLVO,C30,2011,20001.0,0,1,80001 - 100000,F,Thirties,SWEDEN,Agricultural Engineers,3
TOYOTA,PRIUS,2010,15001.0,0,1,80001 - 100000,F,Forties,JAPAN,"Social Sciences Teachers, Postsecondary",3
SUBARU,OUTBACK,2010,15001.0,1,1,100001 - 120000,F,Thirties,JAPAN,Actuaries,3
VOLKSWAGEN,GTI,2012,20001.0,1,1,160001 - 180000,M,Forties,GERMANY,Nurse Anesthetists,3
TOYOTA,PRIUS,2010,15001.0,1,1,200001+,M,Forties,JAPAN,"Physicians, All Other; and Ophthalmologists, Except Pediatric",3
HONDA,FIT,2012,15001.0,0,1,60001 - 80000,F,Fifties,JAPAN,"Life, Physical, and Social Science Occupations",3
MINI,COOPER,2007,15001.0,1,1,100001 - 120000,F,Fifties,UNITED KINGDOM,Nurse Practitioners,3
JEEP,LIBERTY,2012,20001.0,1,1,160001 - 180000,M,UnderTwenty,UNITED STATES,Nurse Anesthetists,3
TOYOTA,PRIUS,2012,20001.0,1,1,80001 - 100000,M,Twenties,JAPAN,Nuclear Technicians,3
JEEP,LIBERTY,2012,20001.0,1,1,80001 - 100000,M,Fifties,UNITED STATES,Atmospheric and Space Scientists,3
TOYOTA,PRIUS,2007,15001.0,1,1,140001 - 160000,F,Thirties,JAPAN,Computer and Information Systems Managers,3
TOYOTA,PRIUS,2010,15001.0,1,1,200001+,M,Twenties,JAPAN,General Internal Medicine Physicians,3
BMW,128,2008,20001.0,1,1,80001 - 100000,M,Forties,GERMANY,"Transportation, Storage, and Distribution Managers",3
TOYOTA,PRIUS,2010,20001.0,1,1,60001 - 80000,F,Fifties,JAPAN,"Social Work Teachers, Postsecondary",3
LEXUS,RX 330,2005,20001.0,1,1,60001 - 80000,M,Forties,JAPAN,Audiologists,3
JEEP,LIBERTY,2008,15001.0,1,1,60001 - 80000,M,Twenties,UNITED STATES,Pile Driver Operators,3
TOYOTA,PRIUS,2010,15001.0,1,1,80001 - 100000,U,Thirties,JAPAN,Computer Occupations,3
JEEP,LIBERTY,2012,15001.0,1,1,80001 - 100000,F,Fifties,UNITED STATES,Miscellaneous Social Scientists and Related Workers,3
TOYOTA,PRIUS,2010,20001.0,0,1,60001 - 80000,M,Forties,JAPAN,Human Resources Specialists,3
MINI,COOPER,2012,20001.0,0,1,100001 - 120000,M,Forties,UNITED KINGDOM,Nurse Midwives,3
VOLKSWAGEN,GOLF,2012,15001.0,1,1,60001 - 80000,M,Thirties,GERMANY,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",3
JEEP,LIBERTY,2012,15001.0,0,1,80001 - 100000,U,Thirties,UNITED STATES,"Political Science Teachers, Postsecondary",3
CHEVROLET,CAPTIVA SPORT,2013,20001.0,1,1,0 - 20000,F,Seventies,UNITED STATES,Miscellaneous Educational Instruction and Library Workers,3
BMW,128,2010,20001.0,1,1,80001 - 100000,M,Fifties,GERMANY,"Transportation, Storage, and Distribution Managers",3
MINI,COOPER,2012,25001.0,1,1,200001+,M,Sixties,UNITED KINGDOM,General Internal Medicine Physicians,3
TOYOTA,PRIUS,2010,15001.0,1,1,60001 - 80000,M,Fifties,JAPAN,Chemical Plant and System Operators,3
TOYOTA,PRIUS,2010,15001.0,1,1,60001 - 80000,M,Thirties,JAPAN,Fashion Designers,3
JEEP,LIBERTY,2011,15001.0,1,1,60001 - 80000,M,Twenties,UNITED STATES,"Recreation and Fitness Studies Teachers, Postsecondary",3
BMW,128,2013,30001.0,1,1,100001 - 120000,M,Sixties,GERMANY,"Economics Teachers, Postsecondary",3
TOYOTA,PRIUS,2010,15001.0,1,1,80001 - 100000,M,Forties,JAPAN,Mechanical Engineers,3
CHEVROLET,VOLT,2012,25001.0,1,1,0 - 20000,M,Fifties,UNITED STATES,Gambling Services Workers,3
VOLKSWAGEN,GTI,2010,20001.0,1,1,100001 - 120000,M,Thirties,GERMANY,Chemical Engineers,3
SCION,IQ,2012,10001.0,1,1,80001 - 100000,M,Forties,UNITED STATES,Air Traffic Controllers and Airfield Operations Specialists,3
BMW,128,2012,25001.0,1,1,60001 - 80000,M,Forties,GERMANY,Web Developers and Digital Interface Designers,3
MINI,COOPER,2012,25001.0,0,1,100001 - 120000,M,Fifties,UNITED KINGDOM,General and Operations Managers,3
CHEVROLET,CAPTIVA SPORT,2013,15001.0,0,1,100001 - 120000,F,Fifties,UNITED STATES,"Electronics Engineers, Except Computer",3
SUBARU,OUTBACK,2011,25001.0,0,1,100001 - 120000,M,Forties,JAPAN,Chemical Engineers,3
TOYOTA,PRIUS,2010,15001.0,0,1,80001 - 100000,F,Thirties,JAPAN,Veterinarians,3
TOYOTA,YARIS,2012,10001.0,0,1,100001 - 120000,F,Forties,JAPAN,Nurse Practitioners,3
TOYOTA,PRIUS,2010,15001.0,1,1,160001 - 180000,M,Thirties,JAPAN,Nurse Anesthetists,3
TOYOTA,PRIUS,2009,15001.0,0,1,80001 - 100000,F,Thirties,JAPAN,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",3
TOYOTA,MATRIX,2010,15001.0,1,1,80001 - 100000,M,Forties,JAPAN,Legal Occupations,3
TOYOTA,PRIUS V,2012,25001.0,1,1,80001 - 100000,M,Thirties,JAPAN,"Environmental Science Teachers, Postsecondary",3
MINI,COOPER,2010,15001.0,1,1,100001 - 120000,U,Thirties,UNITED KINGDOM,General and Operations Managers,3
AUDI,A7,2012,55001.0,0,0,?,M,Forties,GERMANY,Insurance Claims and Policy Processing Clerks,3
JEEP,LIBERTY,2012,15001.0,1,1,80001 - 100000,F,Forties,UNITED STATES,Legal Occupations,3
MINI,COOPER,2011,20001.0,1,1,60001 - 80000,M,Twenties,UNITED KINGDOM,Nuclear Medicine Technologists,3
LEXUS,CT 200H,2011,25001.0,1,1,200001+,F,Thirties,JAPAN,"Physicians, All Other; and Ophthalmologists, Except Pediatric",3
TOYOTA,PRIUS,2012,20001.0,0,1,60001 - 80000,F,Sixties,JAPAN,Dietitians and Nutritionists,3
TOYOTA,PRIUS,2010,20001.0,1,1,160001 - 180000,M,Forties,JAPAN,Nurse Anesthetists,3
JEEP,LIBERTY,2011,15001.0,0,1,200001+,M,Forties,UNITED STATES,General Internal Medicine Physicians,3
INFINITI,FX35,2009,20001.0,0,1,120001 - 140000,F,Fifties,JAPAN,Computer and Information Research Scientists,3
TOYOTA,PRIUS,2011,20001.0,0,1,80001 - 100000,F,Fifties,JAPAN,"Life Sciences Teachers, Postsecondary",3
TOYOTA,PRIUS,2013,25001.0,0,1,200001+,M,Forties,JAPAN,General Internal Medicine Physicians,3
HONDA,FIT,2011,10001.0,0,1,60001 - 80000,M,Twenties,JAPAN,Computer Network Support Specialists,3
MAZDA,MAZDA2,2013,10001.0,1,1,100001 - 120000,F,Fifties,JAPAN,Nurse Practitioners,3
JEEP,LIBERTY,2012,20001.0,1,1,200001+,M,Forties,UNITED STATES,General Internal Medicine Physicians,3
TOYOTA,PRIUS C,2013,15001.0,0,1,60001 - 80000,M,Twenties,JAPAN,Producers and Directors,3
CHEVROLET,CAPTIVA SPORT,2012,15001.0,1,1,60001 - 80000,M,Forties,UNITED STATES,Boilermakers,3
JEEP,LIBERTY,2012,15001.0,0,1,140001 - 160000,F,UnderTwenty,UNITED STATES,Computer and Information Systems Managers,3
CHEVROLET,VOLT,2012,25001.0,0,1,140001 - 160000,F,Forties,UNITED STATES,Computer and Information Systems Managers,3
NISSAN,CUBE,2013,15001.0,0,1,60001 - 80000,M,Forties,JAPAN,"Architects, Except Naval",3
HONDA,CR-Z,2012,15001.0,1,1,60001 - 80000,M,Fifties,JAPAN,Postsecondary Teachers,3
SUBARU,OUTBACK,2010,20001.0,1,1,160001 - 180000,M,Fifties,JAPAN,Nurse Anesthetists,3
TOYOTA,PRIUS,2010,20001.0,0,1,80001 - 100000,M,Fifties,JAPAN,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",3
TOYOTA,PRIUS,2013,20001.0,0,1,60001 - 80000,M,Unknown,JAPAN,"Agents and Business Managers of Artists, Performers, and Athletes",3
TOYOTA,PRIUS,2010,20001.0,0,1,120001 - 140000,M,Forties,JAPAN,Petroleum Engineers,3
TOYOTA,PRIUS PLUG IN HYBRID,2012,25001.0,1,1,0 - 20000,U,Sixties,JAPAN,Counter and Rental Clerks and Parts Salespersons,3
LEXUS,RX 330,2005,15001.0,1,1,100001 - 120000,U,Forties,JAPAN,Medical and Health Services Managers,3
MINI,COOPER,2011,20001.0,1,1,60001 - 80000,M,Forties,UNITED KINGDOM,"Insurance Appraisers, Auto Damage",3
VOLKSWAGEN,GTI,2011,20001.0,1,1,80001 - 100000,M,Twenties,GERMANY,"Agricultural Sciences Teachers, Postsecondary",3
MINI,COOPER,2009,15001.0,0,1,100001 - 120000,M,Fifties,UNITED KINGDOM,Optometrists,3
TOYOTA,PRIUS,2010,25001.0,1,1,60001 - 80000,M,Forties,JAPAN,Therapists,3
TOYOTA,PRIUS,2010,15001.0,0,1,100001 - 120000,M,Thirties,JAPAN,Medical and Health Services Managers,3
TOYOTA,PRIUS,2011,20001.0,1,1,80001 - 100000,M,Sixties,JAPAN,Sociologists,3
JEEP,LIBERTY,2011,20001.0,1,1,80001 - 100000,M,Thirties,UNITED STATES,"Power Plant Operators, Distributors, and Dispatchers",3
TOYOTA,PRIUS,2010,15001.0,0,1,60001 - 80000,F,Forties,JAPAN,"First-Line Supervisors of Mechanics, Installers, and Repairers",3
TOYOTA,PRIUS,2010,20001.0,1,1,80001 - 100000,M,Thirties,JAPAN,Miscellaneous Computer Occupations,3
JEEP,LIBERTY,2012,15001.0,0,1,60001 - 80000,F,Thirties,UNITED STATES,"Social Work Teachers, Postsecondary",3
TOYOTA,PRIUS,2010,15001.0,1,1,60001 - 80000,F,Forties,JAPAN,Miscellaneous Postsecondary Teachers,3
SUBARU,OUTBACK,2011,20001.0,1,1,200001+,F,Fifties,JAPAN,General Internal Medicine Physicians,3
TOYOTA,PRIUS,2010,15001.0,1,1,100001 - 120000,M,Thirties,JAPAN,Human Resources Managers,3
JEEP,LIBERTY,2012,15001.0,1,1,60001 - 80000,U,Twenties,UNITED STATES,Social and Community Service Managers,3
CHEVROLET,CAPTIVA SPORT,2012,20001.0,0,1,60001 - 80000,F,Fifties,UNITED STATES,"Surveyors, Cartographers, and Photogrammetrists",3
INFINITI,FX35,2010,30001.0,0,1,0 - 20000,M,HundredPlus,JAPAN,"Farmworkers, Farm, Ranch, and Aquacultural Animals",3
TOYOTA,PRIUS C,2013,20001.0,1,1,160001 - 180000,M,Fifties,JAPAN,Nurse Anesthetists,3
TOYOTA,PRIUS,2010,15001.0,1,1,140001 - 160000,M,Seventies,JAPAN,"Dentists, All Other Specialists",3
JEEP,LIBERTY,2011,15001.0,0,1,60001 - 80000,M,Twenties,UNITED STATES,"Securities, Commodities, and Financial Services Sales Agents",3
BMW,128,2010,20001.0,0,1,100001 - 120000,F,Fifties,GERMANY,Miscellaneous Physical Scientists,3
JEEP,LIBERTY,2012,20001.0,1,1,60001 - 80000,M,Twenties,UNITED STATES,Rail Transportation Workers,3
JEEP,LIBERTY,2012,15001.0,0,1,80001 - 100000,M,Fifties,UNITED STATES,Marine Engineers and Naval Architects,3
HONDA,CR-Z,2011,15001.0,1,1,60001 - 80000,M,Thirties,JAPAN,"Compensation, Benefits, and Job Analysis Specialists",3
TOYOTA,PRIUS,2013,25001.0,1,1,80001 - 100000,F,Sixties,JAPAN,"Business Teachers, Postsecondary",3
MINI,COOPER,2012,25001.0,1,1,200001+,M,Forties,UNITED KINGDOM,Family Medicine Physicians,3
TOYOTA,MATRIX,2010,15001.0,0,1,60001 - 80000,M,Thirties,JAPAN,Stationary Engineers and Boiler Operators,3
